Type,Literal meaning,Figurative sentence
Metonymy,the man sips the wine,the man sips the glass
Metonymy,the boy drank a tea,the boy drank a mug
Metonymy,the guest tasted the wine,the guest tasted the bottle
Metonymy,the guys consumed the water,the guys consumed the pitcher
Metonymy,the student guzzled a carafe of wine,the student guzzled a carafe of it
Metonymy,the servants had brewed a beer,the servants had brewed a barrel
Metonymy,the producer distilled a rum,the producer distilled a barrel
Metonymy,the chef prepared the fish,the chef prepared the dish
Metonymy,my child ate a packet a biscuit,my child ate a packet a day
Metonymy,my husband has already devoured a jam,my husband has already devoured a jar
Metonymy,the lunchmate ingested a bowl of rice,the lunchmate ingested a bowl of it
Metonymy,the guest picked at the beef,the guest picked at the tray
Metonymy,the customer tried the pasta,the customer tried the plate
Metonymy,the chef stirred the cream,the chef stirred the pan
Metonymy,the cook may slice the meat,the cook may slice the dish
Metonymy,the cook salted the meat,the cook salted the dish
Metonymy,some chefs fry the chicken,some chefs fry the dish
Metonymy,the covering steams the vegetable,the covering steams the dish
Metonymy,the syrup glazes the carrot,the syrup glazes the dish
Metonymy,the dish tastes soup,the dish tastes bland
Metonymy,the dish simmered on the meat,the dish simmered on the fire
Metonymy,cans froze in the beer,cans froze in the fridge
Metonymy,the maid boiled the water,the maid boiled the kettle
Metonymy,the bucket soaked the water,the bucket soaked the bed
Metonymy,the bucket splashed onto the water,the bucket splashed onto the floor
Metonymy,the carton spilled onto the milk,the carton spilled onto the surface
Metonymy,my flask spilled out in my coffee,my flask spilled out in my bag
Metonymy,propane heats the pool water,propane heats the pool quickly
Metonymy,the pump refreshes the water,the pump refreshes the pool
Metonymy,the sun and wind evaporates the water,the sun and wind evaporates the pool
Metonymy,this product chlorinates the water,this product chlorinates the pool
Metonymy,the cauldron seethed in the soup,the cauldron seethed in the kitchen
Metonymy,the cauldron gurgled on the soup,the cauldron gurgled on the grate
Metonymy,pots simmered on the water,pots simmered on the stove
Metonymy,the pot reaches a full water,the pot reaches a full boil
Metonymy,the pot bubbled on the water,the pot bubbled on the fire
Metonymy,the veterinary injected the insulin,the veterinary injected the syringe
Metonymy,the device has dosed a insulin,the device has dosed a syringe
Metonymy,the driver used up the fuel,the driver used up the tank
Metonymy,the diaper overflows at urine,the diaper overflows at night
Metonymy,the radiator overflows water,the radiator overflows significantly
Metonymy,the radiator drips from the lower water,the radiator drips from the lower hose
Metonymy,the toilet overflows in the water,the toilet overflows in the bathroom
Metonymy,the hose drips at the water,the hose drips at the end
Metonymy,a hose douses the water,a hose douses the fire
Metonymy,the participant had poured the jug to the water,the participant had poured the jug to the cup
Metonymy,the officer sprayed the gas,the officer sprayed the canister
Metonymy,the man sprayed the fire gas,the man sprayed the fire extinguisher
Metonymy,some people smoke a pack a cigarette,some people smoke a pack a day
Metonymy,not all smokers inhale a pack a cigarette,not all smokers inhale a pack a day
Metonymy,the librarian arranged the book,the librarian arranged the bookshelf
Metonymy,the worker unloaded the merchandise,the worker unloaded the truck
Metonymy,the gentlemen had somehow spilled his water,the gentlemen had somehow spilled his glass
Metonymy,moderate drinkers imbibe a glass or two a alcohol,moderate drinkers imbibe a glass or two a day
Metonymy,the man managed to swallow 30 glasses within a alcohol,the man managed to swallow 30 glasses within a minute
Metonymy,the woman chugged the entire bottle at the liquor,the woman chugged the entire bottle at the gate
Metonymy,kenyans love to down their brown beer,kenyans love to down their brown bottles
Metonymy,the kid gulps the sauce,the kid gulps the bottle
Metonymy,the owner quaffed two quick wine,the owner quaffed two quick glasses
Metonymy,this friend of ours slurped down her wine,this friend of ours slurped down her glass
Metonymy,the drinker must consume a six pack during the beer,the drinker must consume a six pack during the event
Metonymy,the boyfriend went to pour himself a second wine,the boyfriend went to pour himself a second glass
Metonymy,the guy proceeds to dump half a bottle on the ketchup,the guy proceeds to dump half a bottle on the steak
Metonymy,the man dumped the entire bottle into a wine,the man dumped the entire bottle into a decanter
Metonymy,the bottle then splashed on their wine,the bottle then splashed on their table
Metonymy,the bottle splattered all over his ketchup,the bottle splattered all over his shirt
Metonymy,amateurs can sample a particular wine,amateurs can sample a particular bottle
Metonymy,the customer tried a few liquor,the customer tried a few bottles
Metonymy,guests can savor a wine,guests can savor a glass
Metonymy,one would have needed to ingest about 28 bottles per wine,one would have needed to ingest about 28 bottles per day
Metonymy,two students had poisoned her water,two students had poisoned her bottle
Metonymy,guests can spike their own alcohol,guests can spike their own glass
Metonymy,people had mistakenly eaten the whole candy,people had mistakenly eaten the whole bag
Metonymy,kids eat the whole candy,kids eat the whole bag
Metonymy,my mom boils the whole potato,my mom boils the whole bag
Metonymy,the button will cook your rice,the button will cook your bag
Metonymy,hungry suspects have devoured over 30000 noodle,hungry suspects have devoured over 30000 packs
Metonymy,the woman devoured half the chocolate,the woman devoured half the bag
Metonymy,the man went on to scoff several bean,the man went on to scoff several tins
Metonymy,experimenters won't scoff the whole food,experimenters won't scoff the whole bag
Metonymy,the young mum scoffed 18 packs a crisp,the young mum scoffed 18 packs a day
Metonymy,someone would be chopping a bag in the onion,someone would be chopping a bag in the bleachers
Metonymy,a fifth of adults munch family size bags chocolate,a fifth of adults munch family size bags alone
Metonymy,out of shape sommeliers swill their wine,out of shape sommeliers swill their glasses
