Type,Literal meaning,Figurative sentence
Sarcasm,"On my recommendation, you won't be supportive of my projects - you're incredible!",On my recommendation you aren't backing my project You're unbelievable!
Sarcasm,I would like to see him get a trophy.,I'd love to see it with the trophy.
Sarcasm,"If she wants to taste your food, you will let her taste your food!","When she's ready to taste her food, you let her get a nice taste!"
Sarcasm,And it is a big deal.,And that's a great thing.
Sarcasm,It is worth fighting over.,And it's worth fighting for.
Sarcasm,"That had no bearing on whether it was black or white, it was simply magnificent.","Right, it had nothing to do with him being black or white, he was just amazing."
Sarcasm,"Is it not that, Xerxes?","Isn't that right, Xerxes?"
Sarcasm,I can't believe this is happening.,Can't believe I'm here.
Sarcasm,I don't believe we've met.,I can't believe I met you.
Sarcasm,I heard Meredith was admitted in the morning.,"I heard Meredith enrolled this morning, that's wonderful."
Sarcasm,"Everything here is in order, sir.","Everything's good here, Sir!"
Sarcasm,"That's an odd spot, especially when it's snowing, it smells like it's clean.","It's a special place, especially when it snows - it smells clean and everything."
Sarcasm,But I astonish their dreams.,But I'll amaze their dreams.
Sarcasm,"In two, three hours at the most, it eliminates the symptoms entirely.","It will completely eliminate her symptoms in two, three hours at most. Thank you."
Sarcasm,Lula leaves office with astonishing popularity for a two-term Latin American president.,For a Latin American president after two terms Lula leaves office with an amazing popularity.
Sarcasm,It is never too late to do the right thing.,"It's never too late, doing a good thing."
Sarcasm,I think it will look god-awful under the Student Union fluorescents.,I think it'll look divine beneath the fluorescents of the Student Union.
Sarcasm,"If Mansfield were mine, I should add a folly.","If Mansfield belonged to me, I'd add fun."
Sarcasm,We just need to make it believable.,It's just got to be believable.
Sarcasm,You are simply too pretty.,You're just too beautiful.
Sarcasm,"Oh, that tasty combo of Wendesll's word and Wendell's voice - nor Edward R.","Ah, the delicious combination of Wendell's words and Wendell's voice - Edward R."
Sarcasm,"Bigger than Jesus, lad.","Greater than Jesus, buddy."
Sarcasm,I don't know how you do it every night.,I can't believe you manage this every night.
Sarcasm,She was mostly immensely relieved to think that virtually everything that anybody had ever told her was wrong.,It was a great relief to think that virtually everything anyone had ever said to her was nonsense.
Sarcasm,"I don't care, because your pain is my entertainment.","Yes, because your pain is fun for me."
Sarcasm,I'm sorry about that.,I'm so so sorry.
Sarcasm,"We wanted to come here, so we came.","We were going here, so here we are."
Sarcasm,"I thought I was in trouble, but, listening to you, I realized I have great problems.","I thought I had issues, but listening to you like that made me realize they were so great."
Sarcasm,It's big to shadow our city.,That is great to shade our town.
Sarcasm,I don't believe I've ever looked upon you as a best girlfriend.,I can't believe I ever considered you my best friend.
Sarcasm,Thank you for not telling them.,Thank you so much that you didn't tell them.
Sarcasm,Yet the Moon continues to fascinate us.,"Still, the moon remains truly fascinating."
Sarcasm,"It's nice that you're thinking of your friend and honestly, you'll notice sooner and later, my mother is terrible.","It's sweet that you care about your friend, and, frankly, as you will find out sooner or later, my mother is a handful."
Sarcasm,They all assure me my 20 patrol cars will be back on duty by the end of the week.,All assuring me that I'll have 20 radio cars back in service at the end of the week.
Sarcasm,"I'm not sure this is a good idea, Clark.","I don't know if that's such a great idea, Clark."
Sarcasm,You must be alex.,"Oh, you must be Alex."
Sarcasm,"The first two priorities, if well-developed and established, represent indisputably respected aims of governmental efforts.","The first two priorities, if well designed and well implemented, are certainly honorable goals for a government to pursue."
Sarcasm,He has a killer apartment.,He's got an incredible apartment.
Sarcasm,You're not happy to see me?,Aren't you glad to see me?
Sarcasm,"Thanks, that was a tight spot.","Thanks, that was close."
Sarcasm,Can't look forward to telling her.,I can't wait to tell her.
Sarcasm,And it seems as if we have cause of death-- because of me.,And it's like we've got cause of death - thanks to me.
Sarcasm,I know this is your big day.,I know this is a great day for you.
Sarcasm,And I do like the wheels.,And I love those bikes.
Sarcasm,And all this because of you.,And it's all thanks to you.
Sarcasm,"Therefore, I found myself hard to believe a total disorganisation could occur in a hospital.","That made it incredible to me, therefore, that complete disorganization could have overtaken the hospital."
Sarcasm,"Come here, child, I'm done","Come here, my child, it's ready"
